rowid,votereg,age5,gender,has_voted,pp18_votelikely,turnout16,educ,educ4,educ2,race,race_t,race4,race3,race2,hispanic,state,senvote18,senvote18_t,senvote18_undecided,senvote18_undecided_t,senvote18_full,specsenvote18,specsenvote18_t,specsenvote18_undecided,specsenvote18_undecided_t,specsenvote18_full,housevote18,housevote18_t,housevote18_undecided_t,govvote18,govvote18_t,govvote18_undecided,govvote18_undecided_t,govvote18_full,EMOTIONS_1,EMOTIONS_2,EMOTIONS_3,EMOTIONS_4,EMOTIONS_5,EMOTIONS_6,EMOTIONS_7,EMOTIONS_8,EMOTIONS_9,EMOTIONS_10,EMOTIONS_11,EMOTIONS_12,EMOTIONS_13,EMOTIONS_14,EMOTIONS_15,EMOTIONS_16,EMOTIONS_17,direct,favor_labor,favor_dem,favor_rep,favor_aca,favor_mcconnell,favor_demcong,favor_repcong,favor_metoo,favor_blm,favor_dtrump,app_dtrmp,suprpty,campaign_contact_emails,campaign_contact_text,campaign_contact_mailer,campaign_contact_onlineads,campaign_contact_inperson,campaign_contact_phone,campaign_contact_TVads,campaign_contact_socialmedia,which_module,CONSENT,VOTE_GEN,NONVOTE_WHY_1,NONVOTE_WHY_2,NONVOTE_WHY_3,NONVOTE_WHY_4,NONVOTE_WHY_5,NONVOTE_WHY_6,NONVOTE_WHY_7,NONVOTE_WHY_t,VOTECONF,GENERATIONS,FAVORS,INSTITUTION,SYSTEM,EMPATHY,FT_Whites,FT_Blacks,FT_Latinos,LAZY_Whites,LAZY_Blacks,LAZY_Latinos,INTELLIGENT_Whites,INTELLIGENT_Blacks,INTELLIGENT_Latinos,RACE_IDENT,LINKFATE,FINPREP,DESERVE_poor,DESERVE_rich,CUSTOMS,SPEAK,ENRICH,SERVICES,JOBS,FLAG,PATH,BORDER,DEPORT,SOCIALDOMINANCE_PRIORITIES,SOCIALDOMINANCE_NOTPUSH,SOCIALDOMINANCE_EQUALIDEAL,SOCIALDOMINANCE_SUPERIOR,REMARKS,OFFEND,APPRECIATE,GENDERPERSONALITY_INDEP,GENDERPERSONALITY_EMOT,GENDERPERSONALITY_CONFIDENT,GENDERPERSONALITY_HELPFUL,GENDERPERSONALITY_DECISIONS,POP_1,POP_2,POP_3,ICE,BAIL_item,WELTEST,PUBLICINT,GREENJOB,POLFEE,PUBLICGEN,BOND,FREECOLL,WEALTH,AVR,M4A,MARREP,MARAM,MARLEG,YEMEN,SOLITARY,GUNS,POLCORRECT,NDIVERSE,NDEMS,SOURCES_1,SOURCES_2,SOURCES_3,SOURCES_4,SOURCES_5,SOURCES_6,SOURCES_7,SOURCES_8,SOURCES_9,SOURCES_10,SOURCES_11,SOURCES_12,SOURCES_13,SOURCES_14,SOURCES_15,SOURCES_16,SOURCES_17,pp18_polactions_txt,pid3,pid3_t,pid7,dtrpsupp,ideo5,presvote16post,presvote16post_t,djtrelct,housevote16post,e14_presvote12,e14_presvote12_t,union_combined_1,union_combined_5,union_combined_2,union_combined_6,union_combined_3,union_combined_4,marstat,child18,religpew,religpew_t,pew_bornagain,pew_churatd,employ,job,faminc_new,pp18_polactions_1,pp18_polactions_2,pp18_polactions_3,pp18_polactions_4,pp18_polactions_5,pp18_polactions_6,pp18_polactions_7,pp18_polactions_8,weight_DFP,house2_imputed,house3,pid7_dems,pid7_oths,pid7_reps,gov2_imputed,gov3,sen2_imputed,sen3,housevote18_undecided,housevote18_full,USR,hostile_sexism_raw,hostile_sexism_scaled,racial_resentment_raw,racial_resentment_scaled,fear_of_demographic_change_raw,fear_of_demographic_change_scaled,which_sample
1,1,5,2,1,8,1,2,1,1,1,NA,1,1,1,2,26,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,2,4,2,4,2,4,4,1,1,4,2,4,2,4,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,5,2,96,90,96,5,2,7,2,2,3,4,2,1,5,2,1,1,3,3,3,2,5,1,1,4,3,4,5,2,1,4,4,4,2,4,2,4,2,2,5,3,1,2,3,4,4,5,5,4,3,5,2,2,5,5,5,3,4,9,40,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,2,NA,7,1,5,2,NA,1,2,2,NA,2,1,2,2,2,2,1,2,1,NA,1,2,5,NA,97,2,2,2,2,2,2,2,1,0.9886,0,2,NA,NA,7,0,2,0,2,NA,3,2,8,0.666666667,6,0.166666667,6,0.5,Final 2018_11_27
2,1,5,1,0,1,1,5,3,2,1,NA,1,1,1,2,39,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,1,4,2,4,2,3,4,1,1,3,2,1,1,2,1,4,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,4,1,98,77,87,5,5,6,3,3,3,1,2,2,4,1,1,4,4,1,1,2,2,1,1,1,4,4,5,2,3,5,5,5,2,5,2,5,1,1,5,2,1,5,3,2,1,5,5,1,5,5,1,1,4,1,3,3,4,7,50,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,,3,NA,5,1,4,2,NA,1,2,2,NA,2,2,2,2,1,2,1,2,2,NA,2,4,5,NA,6,2,2,2,2,2,2,2,1,0.4226,0,2,NA,5,NA,0,2,0,2,NA,3,1,5,0.416666667,9,0.416666667,11,0.9167,Final 2018_11_27
3,1,5,1,0,1,1,2,1,1,1,NA,1,1,1,2,19,NA,,NA,,NA,NA,,NA,NA,NA,1,,,1,,NA,,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,4,1,4,1,1,4,4,1,1,1,1,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,1,5,1,59,88,89,6,6,7,5,5,5,1,1,2,7,1,5,2,1,5,1,1,3,5,2,1,5,1,5,2,2,5,5,3,2,5,2,5,4,5,5,2,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,1,8,75,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,,1,NA,1,NA,2,1,NA,2,1,1,NA,2,1,2,2,2,2,1,2,11,NA,2,6,5,NA,5,1,2,2,2,1,1,2,2,0.5875,1,1,1,NA,NA,1,1,1,NA,NA,1,1,6,0.5,4,0,4,0.3333,Final 2018_11_27
4,1,5,1,0,1,1,6,4,2,1,NA,1,1,1,2,37,NA,,NA,,NA,NA,,NA,NA,NA,3,,,NA,,NA,,NA,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,4,4,2,4,2,4,2,3,4,1,2,4,3,2,3,2,2,2,3,3,1,1,2,2,2,2,2,2,2,1,Out of state and forgot absentee,1,3,2,4,4,1,85,70,75,3,3,5,3,3,3,3,3,1,6,3,1,2,3,1,2,2,2,1,2,2,3,2,3,3,2,2,3,3,2,4,2,2,2,2,5,5,1,2,1,2,1,4,1,4,5,5,2,4,2,3,4,3,4,5,40,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,,2,NA,7,4,4,2,NA,1,2,2,NA,2,2,2,2,1,2,1,2,1,NA,2,1,5,NA,8,2,2,1,2,2,1,2,2,0.4152,0,2,NA,NA,7,0,NA,0,NA,NA,3,1,8,0.666666667,8,0.333333333,9,0.75,Final 2018_11_27
5,1,4,1,1,7,1,5,3,2,1,NA,1,1,1,2,56,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,4,2,4,1,1,4,4,1,3,3,3,3,1,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,1,94,90,93,3,6,6,5,3,3,2,3,1,6,1,5,4,1,5,4,1,5,5,5,1,5,1,5,5,2,5,5,3,4,5,2,2,1,3,3,2,4,1,1,1,1,1,1,1,1,1,3,1,1,1,3,2,1,9,43,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,,3,NA,3,NA,3,4,NA,2,1,1,NA,2,2,2,2,1,2,4,2,11,NA,2,6,1,NA,11,2,2,1,2,1,2,2,2,0.5408,1,1,NA,3,NA,1,1,1,1,NA,1,2,3,0.25,4,0,1,0.0833,Final 2018_11_27
6,1,4,1,1,7,1,3,2,1,7,NA,4,1,2,2,6,2,,NA,,2,NA,,NA,NA,NA,1,,,1,,NA,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,4,1,4,2,4,1,1,4,4,1,1,1,1,1,1,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,1,11,70,80,1,5,7,3,2,2,1,1,1,7,1,5,4,1,5,5,1,1,5,4,1,5,1,5,5,5,5,4,3,3,5,2,5,5,3,3,1,5,1,3,1,1,2,1,1,1,1,2,1,3,1,1,1,2,1,75,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,,1,NA,1,NA,2,1,NA,2,1,1,NA,2,1,2,2,2,2,5,2,1,NA,2,4,5,NA,8,1,1,1,1,2,1,2,2,0.5316,1,1,1,NA,NA,1,1,1,1,NA,1,3,0,0,4,0,0,0,Final 2018_11_27
7,1,3,2,0,1,1,6,4,2,2,NA,2,2,2,2,47,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,4,2,4,1,1,4,4,1,3,4,3,3,4,1,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,5,1,50,100,88,3,6,7,4,1,2,4,1,1,7,1,5,5,2,5,5,1,3,5,5,1,5,1,5,4,5,5,5,3,1,5,1,2,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,,1,NA,1,NA,3,1,NA,2,1,1,NA,2,2,2,2,1,2,1,1,2,NA,2,1,1,NA,14,1,2,2,1,1,1,2,2,1.5776,1,1,1,NA,NA,1,1,1,1,NA,1,2,1,0.083333333,4,0,1,0.0833,Final 2018_11_27
8,1,5,1,0,1,1,5,3,2,1,NA,1,1,1,2,6,2,,NA,,2,NA,,NA,NA,NA,3,,,3,,NA,,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,4,2,4,2,4,2,4,4,1,1,3,3,2,3,1,3,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,4,2,1,88,90,90,5,4,6,2,2,3,1,3,1,4,4,3,3,2,2,3,2,1,1,2,3,1,4,4,4,4,4,4,2,2,5,1,4,4,3,5,3,1,3,5,3,4,5,5,5,3,5,2,2,5,5,4,4,3,3,67,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,,3,NA,5,1,4,2,NA,1,2,2,NA,2,2,2,1,2,2,3,2,1,NA,2,5,1,NA,7,2,2,1,2,2,1,2,2,0.4013,0,2,NA,5,NA,0,2,1,1,NA,3,2,3,0.25,10,0.5,6,0.5,Final 2018_11_27
9,1,5,1,1,7,1,6,4,2,1,NA,1,1,1,2,13,NA,,NA,,NA,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,4,4,1,4,1,4,1,4,4,1,1,4,2,4,2,2,4,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,3,NA,77,76,5,4,NA,3,3,3,4,1,1,4,4,1,1,3,1,1,2,2,1,1,2,2,4,2,2,2,2,5,3,1,3,2,5,5,5,5,5,1,2,2,NA,4,5,5,2,5,5,2,3,5,4,5,2,3,9,15,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,2,NA,7,1,4,2,NA,1,2,2,NA,2,2,2,2,1,2,1,2,1,NA,1,2,5,NA,11,1,2,2,2,2,1,2,2,0.4007,0,2,NA,NA,7,0,2,0,NA,NA,3,2,9,0.75,9,0.416666667,10,0.8333,Final 2018_11_27
10,1,2,1,1,7,1,6,4,2,1,NA,1,1,1,2,39,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,4,2,4,1,1,4,4,1,3,1,1,3,1,1,4,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,1,5,1,69,88,91,6,6,7,4,4,4,2,2,1,7,1,5,5,1,4,4,1,4,5,5,2,4,2,5,5,5,5,4,4,2,4,2,4,5,5,4,1,5,2,1,1,1,4,2,1,1,1,2,2,4,2,1,1,2,5,65,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,,1,NA,1,NA,2,1,NA,2,1,1,NA,2,2,2,2,1,2,1,1,5,NA,2,4,1,NA,12,1,1,1,1,1,1,2,2,1.2893,1,1,1,NA,NA,1,1,1,1,NA,1,2,0,0,4,0,2,0.1667,Final 2018_11_27
11,1,4,2,0,1,1,2,1,1,1,NA,1,1,1,2,47,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,4,1,4,1,4,2,1,1,1,1,3,2,4,3,3,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,1,1,100,100,100,7,7,7,1,NA,1,4,5,2,5,4,1,2,3,1,1,2,5,1,1,1,5,1,5,5,5,5,5,3,1,5,1,NA,5,1,5,5,1,1,NA,1,1,5,5,1,5,5,1,1,5,4,5,3,4,1,50,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,,2,NA,7,1,5,2,NA,1,2,2,NA,2,2,2,2,1,2,3,2,1,NA,1,2,5,NA,2,2,2,2,2,1,2,2,2,0.9091,0,2,NA,NA,7,0,2,0,2,NA,3,1,0,0,12,0.666666667,10,0.8333,Final 2018_11_27
12,1,5,1,0,1,1,6,4,2,7,NA,4,1,2,1,12,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,4,4,2,3,2,4,2,4,4,1,1,3,3,3,3,3,3,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,5,5,1,91,31,11,6,3,1,2,3,5,1,3,1,2,2,1,1,5,1,5,2,2,1,1,2,2,4,4,1,1,3,4,2,2,5,1,4,3,1,5,1,1,4,2,2,3,4,5,2,5,5,2,4,5,2,5,3,4,3,50,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,,4,MAGA,4,NA,4,2,NA,1,2,3,NA,2,2,2,2,1,2,1,2,2,NA,2,1,5,NA,97,2,2,1,2,1,1,2,2,1.257,0,2,NA,4,NA,0,2,0,2,NA,3,2,10,0.833333333,8,0.333333333,8,0.6667,Final 2018_11_27
13,1,1,2,1,8,1,5,3,2,1,NA,1,1,1,2,30,1,,NA,,1,NA,,NA,NA,NA,1,,,NA,,NA,,NA,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,6,2,4,1,4,2,4,3,6,4,4,5,3,4,3,3,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,4,1,75,77,78,4,4,4,4,4,4,2,2,1,6,1,5,5,1,4,4,2,4,5,4,2,4,2,4,5,4,5,3,4,3,4,4,5,5,5,4,4,6,2,2,4,6,4,4,1,2,6,6,6,5,2,6,1,3,9,5,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,2,,3,NA,3,NA,3,1,NA,2,1,1,NA,2,2,2,2,1,2,1,1,2,NA,2,2,2,NA,4,2,2,2,2,2,2,2,1,1.9187,1,1,NA,3,NA,1,NA,1,1,NA,1,1,1,0.083333333,6,0.166666667,2,0.1667,Final 2018_11_27
14,1,5,2,1,8,1,4,2,1,1,NA,1,1,1,2,12,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,4,2,4,2,4,2,4,4,1,1,4,3,3,3,3,3,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,4,3,91,66,75,5,5,5,3,3,3,4,3,5,5,4,3,3,3,1,3,2,2,1,1,2,3,2,5,4,2,4,4,3,2,5,2,5,3,5,5,5,1,2,1,3,1,5,5,3,5,4,2,5,5,4,4,3,4,7,40,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,,2,NA,7,1,5,2,NA,1,2,2,NA,2,2,2,2,1,2,3,2,1,NA,1,1,5,NA,3,2,2,1,2,1,2,1,2,0.7812,0,2,NA,NA,7,0,2,0,2,NA,3,2,5,0.416666667,11,0.583333333,8,0.6667,Final 2018_11_27
15,1,5,1,1,7,1,3,2,1,1,NA,1,1,1,2,46,NA,,NA,,NA,NA,,NA,NA,NA,3,,,3,,NA,,3,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,4,4,2,3,2,4,2,4,3,4,2,5,3,3,3,2,4,4,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,3,2,77,NA,NA,3,3,4,3,3,3,2,5,2,3,2,1,3,4,1,1,2,5,1,1,3,2,5,4,1,1,2,5,4,1,5,1,2,5,2,1,5,1,2,2,3,1,2,4,1,3,2,3,3,5,2,3,4,4,4,40,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,,3,NA,4,NA,4,2,NA,1,2,2,NA,2,2,2,2,1,2,3,2,11,NA,1,3,2,NA,2,2,1,2,1,2,2,2,2,0.7118,0,2,NA,4,NA,0,2,0,NA,NA,3,1,11,0.916666667,10,0.5,11,0.9167,Final 2018_11_27
16,1,4,1,1,7,1,6,4,2,1,NA,1,1,1,2,55,3,,NA,,3,NA,,NA,NA,NA,3,,,17,,NA,,17,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,4,2,3,2,4,3,2,3,2,2,3,3,4,3,3,2,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,4,1,89,88,71,5,5,5,2,2,2,4,2,2,NA,2,2,3,2,2,3,3,3,2,2,3,4,4,5,2,2,3,4,4,3,5,3,1,3,4,5,4,1,2,6,3,4,5,4,6,3,4,2,2,4,6,4,2,3,8,50,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,,3,NA,5,3,4,2,NA,3,2,2,NA,2,1,2,2,2,2,1,2,2,NA,2,1,5,NA,97,2,2,1,2,2,2,1,2,0.6878,0,2,NA,5,NA,0,3,0,2,NA,3,2,8,0.666666667,6,0.166666667,6,0.5,Final 2018_11_27
17,1,5,2,1,7,2,2,1,1,1,NA,1,1,1,2,55,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,4,1,4,6,4,2,3,2,1,1,3,1,4,1,3,4,1,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,4,2,69,46,61,5,3,6,2,3,5,3,4,1,6,1,1,2,2,2,4,2,2,1,1,2,3,3,4,1,2,4,5,3,2,5,1,4,4,2,3,6,1,1,1,1,6,5,1,1,4,3,2,1,4,3,1,1,1,6,10,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,,2,NA,7,1,4,7,NA,1,NA,2,NA,2,2,2,1,2,2,1,2,2,NA,2,2,5,NA,6,2,2,2,2,2,2,2,1,0.9886,0,2,NA,NA,7,0,2,0,2,NA,3,2,8,0.666666667,8,0.333333333,5,0.4167,Final 2018_11_27
18,1,5,2,1,7,1,3,2,1,1,NA,1,1,1,2,13,NA,,NA,,NA,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,2,4,2,4,2,4,3,1,1,3,2,4,3,4,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,3,4,1,81,77,56,6,4,4,3,3,3,1,3,2,5,4,2,1,3,2,2,2,3,1,1,1,2,3,5,3,4,5,4,3,3,4,2,4,5,3,5,2,1,3,1,4,3,5,5,5,4,4,1,3,4,2,3,3,4,5,50,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,,2,NA,7,1,5,2,NA,1,2,2,NA,2,2,2,2,1,2,1,2,1,NA,1,1,5,NA,11,2,2,2,2,2,1,2,2,0.9344,0,2,NA,NA,7,0,2,0,NA,NA,3,2,3,0.25,7,0.25,8,0.6667,Final 2018_11_27
19,1,5,2,0,1,1,3,2,1,1,NA,1,1,1,2,17,NA,,NA,,NA,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,4,4,2,4,2,4,2,3,4,1,1,3,4,4,3,3,4,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,4,3,2,84,78,75,5,5,5,3,3,3,2,3,2,6,2,1,3,4,2,2,2,2,1,2,2,4,2,4,2,2,2,2,5,4,4,2,4,4,2,5,4,1,3,2,2,2,3,5,3,3,3,3,2,3,2,2,2,3,4,10,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,,3,NA,5,1,4,2,NA,1,2,2,NA,2,2,2,1,2,2,1,2,2,NA,2,2,5,NA,10,2,2,1,2,2,2,2,2,0.9511,0,2,NA,5,NA,0,2,0,NA,NA,3,2,9,0.75,10,0.5,9,0.75,Final 2018_11_27
20,1,5,2,0,1,1,2,1,1,1,NA,1,1,1,2,4,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,4,1,4,6,4,1,4,4,1,1,3,3,4,3,3,4,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,4,5,1,82,11,1,7,3,4,1,5,4,3,4,1,5,2,2,2,4,1,3,2,2,1,1,3,3,3,3,2,1,2,4,4,2,5,3,2,5,3,5,5,1,2,2,2,1,4,2,2,4,2,2,4,4,1,3,3,4,9,10,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,,2,NA,7,1,4,2,NA,1,2,2,NA,2,2,2,2,1,2,1,2,2,NA,2,6,5,NA,6,2,2,2,2,2,2,2,1,0.7872,0,2,NA,NA,7,0,2,0,2,NA,3,2,10,0.833333333,7,0.25,9,0.75,Final 2018_11_27
21,1,5,2,1,7,1,6,4,2,2,NA,2,2,2,2,13,NA,,NA,,NA,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,4,1,4,1,4,1,2,4,4,1,1,1,1,1,1,4,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,5,1,100,100,100,6,7,7,1,1,1,4,2,1,5,1,5,5,1,5,5,1,3,5,5,1,4,1,5,5,5,3,5,3,1,5,1,4,2,3,3,4,5,2,2,2,3,3,2,1,2,1,2,2,2,2,3,2,1,8,90,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,,1,NA,1,NA,3,1,NA,2,1,1,NA,2,2,2,2,1,2,3,2,1,NA,2,5,5,NA,5,2,2,2,2,2,2,2,1,2.5852,1,1,1,NA,NA,1,1,1,NA,NA,1,2,2,0.166666667,4,0,0,0,Final 2018_11_27
22,1,5,1,1,8,1,2,1,1,1,NA,1,1,1,2,31,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,1,4,2,4,2,2,4,4,5,3,4,3,3,3,3,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,3,5,1,81,80,80,5,5,6,3,3,3,3,2,1,6,1,3,3,2,4,4,1,2,5,2,1,4,1,5,4,5,4,4,3,2,4,1,3,3,5,5,4,4,1,2,2,1,4,1,1,1,1,2,4,1,2,2,2,1,4,40,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,,3,NA,3,NA,3,1,NA,2,1,1,NA,2,1,2,2,2,2,1,2,10,NA,2,5,5,NA,6,2,2,2,2,2,2,2,1,0.8522,1,1,NA,3,NA,1,1,1,1,NA,1,2,2,0.166666667,6,0.166666667,3,0.25,Final 2018_11_27
23,1,4,1,1,7,1,6,4,2,3,NA,3,3,2,1,35,5,,NA,,5,NA,,NA,NA,NA,1,,,1,,NA,,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,4,2,4,2,2,4,4,2,3,4,3,3,3,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,4,1,50,80,100,4,4,4,4,4,4,3,2,1,6,2,5,5,1,3,3,1,1,5,4,1,5,1,5,3,3,3,5,3,1,4,2,1,1,4,4,2,4,1,3,1,2,2,2,NA,1,2,4,1,1,1,4,2,2,4,50,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,,3,NA,3,NA,2,3,NA,2,1,1,NA,2,2,2,1,2,2,2,1,1,NA,2,4,2,NA,10,2,2,1,2,1,1,1,2,0.8226,1,1,NA,3,NA,1,1,1,3,NA,1,1,6,0.5,6,0.166666667,4,0.3333,Final 2018_11_27
24,1,5,2,1,8,1,3,2,1,1,NA,1,1,1,2,39,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,4,1,4,1,1,4,4,1,1,4,3,4,1,3,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,5,1,76,60,75,3,3,7,2,3,2,3,4,1,7,1,5,4,1,4,NA,1,5,5,5,2,2,4,2,4,2,4,3,4,2,4,2,5,4,4,6,2,2,1,2,1,4,6,2,1,2,2,2,2,6,1,3,2,1,4,75,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,,1,NA,1,NA,2,1,NA,2,1,1,NA,2,2,2,2,1,2,1,2,1,NA,2,6,5,NA,6,2,2,1,2,2,2,2,2,0.7231,1,1,1,NA,NA,1,1,1,1,NA,1,2,5,0.416666667,4,0,1,0.0833,Final 2018_11_27
25,1,5,1,1,8,1,6,4,2,1,NA,1,1,1,2,26,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,4,1,4,1,1,4,4,1,1,4,1,4,1,4,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,1,50,100,100,3,4,6,3,2,2,2,3,1,7,1,5,5,1,5,5,1,2,5,5,1,5,1,5,5,5,5,4,4,3,4,4,5,5,4,1,1,5,1,1,1,4,1,1,1,1,1,3,1,1,1,1,1,1,5,60,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,1,NA,1,NA,1,1,NA,2,1,1,NA,2,2,2,2,1,2,1,2,1,NA,2,2,5,NA,9,2,2,2,2,2,1,2,2,0.3101,1,1,1,NA,NA,1,1,1,1,NA,1,2,0,0,4,0,0,0,Final 2018_11_27
